人物,人物台词,开始时间,结束时间
(可能)阿虚,有什么东西怪怪的 我不知为啥有这种感觉,00:00:03:330,00:00:06:990
阿虚,电视中正在播放的 是跟我一点关系都没有的同县选手的比赛,00:00:08:310,00:00:13:000
(可能)阿虚,不知为啥我正支持着正处于落后的一方,00:00:13:390,00:00:16:720
阿虚,然后又不知为啥觉得差不多春日要搞点事出来了,00:00:17:040,00:00:21:380
(可能)朝比奈,阿虚 电话,00:00:24:880,00:00:26:360
(可能)阿虚,不用你说我也知道,00:00:26:820,00:00:28:190
春日,你今天很闲吧,00:00:30:820,00:00:31:900
(可能)春日,两点整全员在车站前集合 老老实实地过来哦,00:00:32:140,00:00:35:460
阿虚,我连一句话都没说上,00:00:39:030,00:00:41:370
(可能)阿虚,怎么了,00:00:43:990,00:00:44:590
春日,忘跟你说带东西来了,00:00:44:820,00:00:46:580
(可能)春日,一套泳装 还有足够的钱,00:00:46:870,00:00:49:610
春日,然后一定要骑自行车来 Over～,00:00:49:710,00:00:52:770
(可能)阿虚,啥啊,00:00:53:280,00:00:54:080
阿虚,我好像又知道春日打算要说啥,00:00:55:190,00:00:59:840
(可能)阿虚,不 不对,00:01:00:090,00:01:00:780
(可能)阿虚,正确地说 是感觉之前好像出现过完全相同的事情,00:01:01:330,00:01:05:300
(可能)古泉,就是所谓的「既视感」么,00:01:05:800,00:01:07:550
(可能)阿虚,夏天就这样缴枪了啊,00:01:11:270,00:01:13:070
春日,太慢了 阿虚！,00:02:47:390,00:02:48:510
(可能)春日,多拿点干劲出来！,00:02:48:850,00:02:50:230
(可能)阿虚,是是,00:02:50:630,00:02:51:270
阿虚,让你们久等真抱歉,00:02:52:450,00:02:53:780
(可能)朝比奈,我也才刚到,00:02:54:360,00:02:56:260
春日,那么 全都到齐了 出发吧,00:02:56:890,00:02:59:880
(可能)阿虚,去哪里？,00:03:00:660,00:03:01:300
春日,当然是去市民游泳池啊,00:03:01:530,00:03:03:620
(可能)阿虚,算了 从这准备的架势来看也是吧,00:03:04:000,00:03:06:020
春日,夏天要有夏天的样子 不能不做有夏天特色的事情,00:03:06:540,00:03:10:290
(可能)春日,失去的时间可是一去不返的啊,00:03:10:760,00:03:13:990
(可能)春日,所以现在就要行动,00:03:14:460,00:03:15:800
春日,在这个只有一次的高一的暑假里,00:03:16:010,00:03:18:750
春日,顺便我们是骑自行车去泳池,00:03:19:570,00:03:21:740
(可能)阿虚,你们也骑来了么,00:03:22:410,00:03:23:950
(可能)古泉,不 自行车只有你和我的两辆,00:03:24:490,00:03:28:140
(可能)阿虚,诶？,00:03:28:320,00:03:28:770
春日,听好了 阿虚 可不能输给古泉哦,00:03:31:180,00:03:34:430
春日,那么 立即出发,00:03:35:430,00:03:37:540
,超能力禁止！,00:03:37:810,00:03:38:850
春日,你们两个赶紧停好车,00:03:39:960,00:03:42:240
(可能)春日,阿虚 接下来是要玩啊 你怎么就筋疲力尽了？,00:03:43:390,00:03:46:590
(可能)阿虚,是谁的错啊 谁的啊,00:03:46:960,00:03:48:350
春日,嗯 这消毒液的气味 真给人一种实在的感觉啊,00:03:48:860,00:03:52:780
春日,赶紧过来 水温温的很舒服哦,00:03:57:020,00:04:00:650
阿虚,那家伙就看不见那些禁止跳水的文字说明么,00:04:01:070,00:04:03:620
(可能)古泉,挺欢乐的嘛,00:04:04:160,00:04:05:260
古泉,你不觉得凉宫同学也学会了有常识性的娱乐方法了么,00:04:06:090,00:04:11:300
古泉,笑得那么开心的凉宫同学 是不会做什么震动这个世界的事情的,00:04:12:520,00:04:18:600
(可能)阿虚,如果真是那样就好了,00:04:18:930,00:04:20:110
(可能)阿虚,怎么了？,00:04:22:220,00:04:22:790
(可能)阿虚,不 没什么,00:04:23:270,00:04:24:180
古泉,大概是我的错觉吧,00:04:28:270,00:04:29:870
古泉,我们也准备一下吧,00:04:30:820,00:04:32:230
(可能)阿虚,好苦 再来一杯！,00:04:53:250,00:04:54:600
阿虚,觉得这种景象以前也见到过,00:05:03:530,00:05:06:000
阿虚,不知为啥觉得长门好像有些无聊…,00:05:06:560,00:05:09:290
(可能)春日,阿虚,00:05:10:380,00:05:10:870
阿虚,没错 然后春日说了这种话,00:05:12:690,00:05:16:020
春日,这两个就是我的团员,00:05:16:900,00:05:18:860
春日,说什么他们都会听的 所以随便吩咐吧,00:05:19:420,00:05:22:230
春日,来 要玩了,00:05:22:910,00:05:24:140
(可能)春日,来玩水中躲避球吧,00:05:24:410,00:05:25:960
,是是,00:05:27:550,00:05:28:220
(可能)阿虚,总之 这种事也常有,00:05:29:610,00:05:31:050
(可能)阿虚,既视感什么的,00:05:31:280,00:05:32:180
春日,我试着考虑了下今后的活动计划 如何呢？,00:05:35:570,00:05:39:000
(可能)阿虚,那是啥,00:05:39:970,00:05:40:920
春日,剩余不多的暑假该如何度过的预定表啦,00:05:41:220,00:05:44:740
春日,我突然发现 暑假只剩下两个星期了,00:05:45:240,00:05:49:580
春日,我都愕然了,00:05:50:140,00:05:52:200
春日,明明还剩下很多事情想要去做,00:05:52:510,00:05:55:080
春日,但只是剩这么一点点时间,00:05:55:200,00:05:57:590
春日,之后要赶快地去玩啊,00:05:58:220,00:05:59:660
(可能)阿虚,要在不到两周内搞完这个么…,00:06:00:500,00:06:02:340
春日,实玖瑠有什么想要做的事情么,00:06:03:260,00:06:05:420
朝比奈,那个…我想捞金鱼,00:06:06:330,00:06:09:840
(可能)春日,OK 捞金鱼,00:06:10:000,00:06:12:460
(可能)古泉,不好意思 我看下,00:06:13:480,00:06:14:510
(可能)古泉,谢谢,00:06:20:150,00:06:20:720
春日,明天开始实行,00:06:21:180,00:06:22:500
春日,这附近什么地方有盂兰盆会么,00:06:23:050,00:06:25:470
春日,有烟花汇演也可以,00:06:25:780,00:06:27:350
古泉,我去查一下吧,00:06:27:700,00:06:29:020
(可能)古泉,回头再联系你,00:06:29:550,00:06:30:780
春日,别忘了捞金鱼哦,00:06:31:070,00:06:32:690
春日,这可是实玖瑠的强烈要求哦,00:06:33:060,00:06:35:060
古泉,了解了,00:06:35:770,00:06:36:920
春日,那么 今天就此解散,00:06:37:840,00:06:39:710
(可能)古泉,那么我也回去了,00:06:40:440,00:06:41:350
(可能)朝比奈,我也是,00:06:41:790,00:06:42:540
(可能)阿虚,长门,00:06:54:900,00:06:55:540
阿虚,不…我什么事也没有,00:06:56:910,00:06:59:250
阿虚,最近如何 精神好么,00:06:59:990,00:07:02:100
(可能)长门,好,00:07:03:120,00:07:03:860
(可能)阿虚,那太好了,00:07:04:440,00:07:05:370
阿虚,怎么了 为什么我会去搭腔呢,00:07:13:070,00:07:16:920
阿虚,盂兰盆会啊 真亏得能聚集起这么多人啊,00:07:26:220,00:07:30:300
,嗯？,00:07:30:650,00:07:31:290
(可能)阿虚,那个楼塔,00:07:33:820,00:07:34:570
(可能)阿虚,那个摊子,00:07:35:450,00:07:36:440
阿虚,明明应该是很久没来了 却觉得最近就来过,00:07:37:250,00:07:40:730
(可能)朝比奈,实玖瑠,00:07:41:040,00:07:41:790
春日,那边有你想要玩的捞金鱼哦,00:07:42:120,00:07:44:770
(可能)春日,去捞个痛快吧,00:07:44:990,00:07:46:470
(可能)朝比奈,是…,00:07:46:620,00:07:47:590
古泉,我们也去玩吧 来一决高下如何,00:07:47:980,00:07:51:030
阿虚,算了吧,00:07:51:240,00:07:52:010
阿虚,比起这个来 长门,00:07:52:470,00:07:53:370
(可能)阿虚,你要吃点什么吗,00:07:53:530,00:07:54:490
阿虚,你对那种东西有兴趣么,00:07:59:520,00:08:01:210
(可能)阿虚,哪个？,00:08:01:610,00:08:02:050
(可能)春日,不用了,00:08:02:280,00:08:02:800
(可能)春日,这个,00:08:03:650,00:08:04:100
,好的 800日元,00:08:04:270,00:08:05:880
阿虚,不知为啥有种受她照顾的感觉,00:08:07:390,00:08:10:090
